,TranslatedDescription,Assignment group
0,login issue veify use detail employee mage  check eset passwod advise calle confim  esolve,GRP_0
1,outlook  team et skype etc appea calenda sobody  advise coect kind,GRP_0
2,cant log vpn best,GRP_0
3, access tool page,GRP_0
4,skype eo,GRP_0
5, log enginee tool skype,GRP_0
6,event citical host  com value motpoint theshold oacle sid epdata psa data peps,GRP_1
7,ticket employnt status new non employee ente use ,GRP_0
8, dis add outlook,GRP_0
9,ticket update inplant,GRP_0
10,enginee tool say connect  submit epot,GRP_0
11,h tool site load page coectly,GRP_0
12, login tool sgxqsuoj xwbesof cad,GRP_0
13,use want eset passwod,GRP_0
14, open payslip,GRP_0
16, login  vpn website  open new session use link  get pls  ugently wok ho tomoow due month end close,GRP_0
17,dock sceen co back,GRP_3
18,ep sid accot lock,GRP_0
19, sign vpn,GRP_0
20, check payslip,GRP_0
21,vpn issue  desk  connect ho office couple hou ago wok anymoe get ssage session expie click link nothing happen   dymic cm chat live agent egad question best,GRP_0
22, connect vpn,GRP_0
23,use call vendo phone numbe,GRP_0
24,vpn wok   connect  netwok pls check  upload esult,GRP_0
25,ep sid passwod eset,GRP_0
26, login tool check payslip,GRP_0
27,accot lock,GRP_0
28, login tool,GRP_0
29, log ep sid,GRP_0
30,passwod eset collaboation platfom,GRP_0
31,eset useshi  use passwod client use xyz,GRP_0
32,duplication netwok addess gentle two device  shae one pinte host ptjc new display ep use dhcp get assign had cod guess set static  coect pick anothe,GRP_4
33,es passwod eset,GRP_0
34, install flash playe,GRP_0
35,ticket employnt status new non employee,GRP_0
36,ep sid accot lock passwod eset,GRP_0
37, esolve ticket assign selfthe status button dieppeaing second,GRP_0
38,instal enginee tool install tool pc,GRP_0
39,call ecwtjnq jpecxuty,GRP_0
41,tt sod wok,GRP_0
42, login system,GRP_0
43, eoute job pinte issue  esolve today wok pat eplace queue wihuyjdo qpogfwkb indicate pqos new may delive day inwaehouse tool pint take cae  pick outside vendo usa daily basis contact dkmcfeg anwmfvlgenkataamdntya question,GRP_5
44, login tool eti,GRP_0
45,log tool eti single sign potal,GRP_0
46,passwod change magent tool didnt update ep accot,GRP_0
47,job fail schedule,GRP_6
48,window passwod change via magent tool,GRP_0
49,status change telephony softwaewhen close call agent keep acd,GRP_7
50,job zsc dly ktc fail schedule,GRP_8
52,vip  passwod magent tool mage eset,GRP_0
53,eset scm softwae passwod   cdbaoqts wqbsodni global poduct mage makhtyeting initiative mailto,GRP_0
54,accot lock officeaccot keep possible eason secue mobile device email setup incoect passwod stoe window netwok match,GRP_0
55,skype et  eset passwod lose option set   ecall  bing back last ti,GRP_0
56,enquiy impact ewadsenquiy ewad get passwod eset,GRP_0
57, mateial plant thanks pc,GRP_6
58,lock logon passwod     net log ugent,GRP_0
60,job fail schedule,GRP_8
61,passwod change equie use abc,GRP_0
62,issue outlook best,GRP_0
63,ugent ceate dlv   dlv sto plant,GRP_6
64,apac  two switch  chn access,GRP_8
65,eo login sid system veify use detail employee mage   passwod magent tool pwd lock ep calle confim  issue esolve,GRP_0
66,delivey note post good issue plant display ekpo sobkz umsok kzbws kzvb suppot check en,GRP_0
67,job fail schedule,GRP_9
71,use lock xyz team  kindly elease compute  fbmugzl ahyiuqev,GRP_0
72,dell laptop speake wok equie ugent ,GRP_0
73,use   connect wieless connection ho lan system use teamviewe check netwok set login disconnect confim  issue esolve,GRP_0
74,inc ticket update,GRP_0
75,job payoll fail schedule,GRP_10
78,powe outage ave site had  type netwok cicuit  specify top cet  stat schedule maintence yno  povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
79,powe outage gemany site had  etwhat type netwok cicuit  specify top cet  stat schedule maintence  povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
82,use yhmwxsqj ugnthxky issue log outlook g avail tomoow aod wok  campus equest each fix,GRP_0
83,job bwhatt fail schedule,GRP_9
84,enginee tool daw oigil pdf fomat shown sevice  monito manufactue appove stop show pocess ep poduction ode inteface vendo fc destition view accessible file stamp bapietunedeoexception stack tace cadagent conn jco jcoepmage handleetunstuctueoetuntline java handleetunstuctue geneitcfction objmod plmfile checkoutview aju plm omf omfoigilsexpot checkoutbapi downloaddoctoigils actionpefod gui ob obfctioneventqueue  bda api bapi doct know poblem fix,GRP_11
85,job apo bop plant fail schedule,GRP_6
87,job zsc wkly ollfgyuej fail schedule,GRP_8
88, open,GRP_0
90,job sid cold fail schedule,GRP_5
92,job fail schedule,GRP_5
97,amssm label sys seve space consu avail,GRP_12
98, view payslip tool ti,GRP_0
99,passwod expiy tomoow system say expie want change new allow accept seve authoize kindly check ful,GRP_0
100,es potal access issue  kiosk use  eset passwod confim noscwdpm akiowsmp ihkolepb ozhnjyef send octobe ntion employee klszbqo spimolgz  login pay slip elate content attendance tool evet back,GRP_0
101,es potal access issue ntion employee klszbqo spimolgz use  login pay slip elate content attendance tool  eset passwod evet back,GRP_0
107,attendance tool system log eo   expeience issue evey ti  single sign potal follow sceen get display stay appeciate suppot fix,GRP_0
108,excel feeze issue,GRP_0
109, sync file collaboation platfom,GRP_0
110, update passwod magent tool mage,GRP_0
111,vitalyst tansfe epot tool access quey,GRP_0
112,job fail schedule,GRP_13
113,use say callback,GRP_0
114, update passwod magent tool,GRP_0
115,ep sid poduction passwod eset accot lock,GRP_0
116,seve issue   gain access pay oll infomation hub specifically tool eti potal co without poblem stub continuously show seach ing,GRP_0
117,ticket update,GRP_0
118, display expense epot,GRP_0
119,passwod eset upitdmhz owupktcg cuzjc,GRP_0
120, login benefit tab,GRP_0
121, issue outlook view call let shae sceen,GRP_0
122, access mail,GRP_0
124,mobile device activationfom tvcdfqgp nbcqwgj send fiday octobe nwfodmhc exucwkm bloqueado foma tempoal sinconizaci dispositivo vil diante exchange activesync hasta que administado autoice acceso ssage local expet tell open ticket,GRP_0
125,intel keybankd wok extel usb,GRP_3
126,blank call gso,GRP_0
127,update inplant,GRP_0
128,passwod change thu magent tool mage    get eo  know action take ensue eveywhee  belo wmsg say,GRP_0
129,lock pesol numbe es,GRP_0
130,intemittent sevice configai seve sid equie pobably estat poduction seveintemittent eo occu show intel seve  invoke thod java util list iteato null object load local vai issue epoduce  custo base mateial finish stat scatch select poduct platfom ough sceen feeze log language diffeent aleady seveal ti  always thyeu good contact peson wok oot cause extel vendo,GRP_14
131, access vpn,GRP_0
132, open outlook,GRP_0
133,install dive pinte host,GRP_0
134, send email outbox,GRP_0
135,access business client dawings xvgfty fuh language bowse micosoft intenet exploe email custo numbe summay m daw netweave application instal compute take page colleague,GRP_0
136,take email pemission pesol phone vdhfy language bowse micosoft intenet exploe custo numbe summay scap old phone mail configue set view,GRP_0
139, view payslip ie,GRP_0
140,ptgghj passwod eset eset tool,GRP_0
141,channel patne eceive multiple email ep ugenthi addess egad eo matheywte millisecond angy  fix aep attach file extact doct,GRP_15
142,usa  inteface fastethenet gigabitethenet ,GRP_8
143,passwod eset  foget ep sid make attempt fail   use dgtkjs,GRP_0
144,es login issue veify use detail employee mage  check eset passwod advise calle confim  esolve,GRP_0
145, stat dell deviceqifzkoej etbmgjvo tt device,GRP_0
146,ep pint tool install,GRP_0
147, touble get vpn wvngzca sfmzdth language bowse micosoft intenet exploe email custo numbe summay vpn assist,GRP_0
148,install acobat standad,GRP_0
149,passwod eset ad,GRP_0
150,eset passwod wseacnvi azvixyqg ep ep sid block login jdhdw,GRP_0
151,use acces location collaboation platfom  access bwfhtumx japznvb egiol contolle mailto,GRP_16
152,cm add get dis outlook,GRP_0
153,outlook hang,GRP_0
154,vpn wok,GRP_0
155,eset passwod hckvpay emxbpkwy use magent tool employee get eo use authentication fail  log potal  access ep hub change mage find accot woodscf taget active diectoy hdjdkt,GRP_17
156,job bkbackup tool sql pod inc fail schedule,GRP_8
158,wy pinte  note continuous ep pint happen give locally aange cancel imdiately lot pape get waste,GRP_0
159,update java viewe  wok  access view scan inwaehouse tool ep assu equie best,GRP_0
161,host cuently expeience high cpu utilization  investigate obseve alet monito tool,GRP_14
162,access bex  till last week epot use potal issue stat system incedibly slow log filly allow maintence ight athe  diffeent way pint sceen    get fince howeve click pofitability alysis always sepaate window open apat om blank appeciate suppot geat day obhyetyj yfqoaepn xnezhsit mage diecto mage cee mail tel mob  polska kzywoustego poz www com siedzib polandiu zaejestowa dzie ejonowym nowe miasto wilda wydzia viii gospodaczy pod nuem kapita zak adowy pln nip,GRP_0
163,window accot lockout,GRP_0
164,ticket comnt add windy shi select follow link view disclai altete language,GRP_0
165,accot lock ep sid,GRP_0
167,use  tain use enginee tool view daw connect system teamviewe  educate login business client issue esolve,GRP_0
168,skype wok   access passwod show eo,GRP_0
169,accot lock equest,GRP_0
170,ugent delivey note ceation equest  team   geneate ode issue despite enough stock item ship plant sale og point tys pc,GRP_18
173,eo login sid system,GRP_0
174, take pint,GRP_19
175,job fail schedule,GRP_12
176,lock supply chain softwae accot would   eset passwod,GRP_0
177, access passwod magent tool mage ijeqpkz nwtehsyx gauwi  change acc attach mail wok office vacation ti link   expie day equient evey enhance data secuity within  login step guide use self sevice avail eply email equie assistance submit ticket global suppot cente via mode kind,GRP_2
178,job host fail schedule,GRP_5
179, login ep sid,GRP_0
180,cm license use dfgyfom xdvwitpm zscxqdhoalaamdntyan send fiday octobe xyculgav cuqptoah dfgy  instal laptop  suppot,GRP_19
181, connect vpn,GRP_19
183,window accot lock,GRP_0
184,apply mobile phone access mail box,GRP_0
185,data coectly pull employee tavel tool attendee inteface,GRP_20
186,shipnt notification send fiday octobe nwfodmhc exucwkm  pls  update custo email addess,GRP_18
187,ecove folde mistake copy divei want,GRP_0
188,job bkwin host inc fail schedule,GRP_8
189,netwok outage india site had  backup cicuit type powe  specify top cet  stat schedule maintence  povide maint ticket active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
190,passwod eset equest,GRP_0
191,use   text mail iphone,GRP_0
192,passwod eset,GRP_0
193, sync mail outlook wifi,GRP_0
194,cm tab appea outlook,GRP_0
195, submit expense epot lock use,GRP_0
196,titcket update inplant,GRP_0
197, appove new poduct equest,GRP_21
199,change desktop wallpape,GRP_0
200, open website  xbdht yjhd language bowse micosoft intenet exploe email custo numbe summay benefit adviso ,GRP_0
201,msd cmassign cm license nyjkctu tbhkenlo use pofile like qmglkau qiwhfkdv,GRP_22
202,sod  issue notebook get paticipate skype call,GRP_0
203, use submit insuance,GRP_0
204,quey extel bowse,GRP_0
205, access benefit apps tool one ti ti deny,GRP_2
206,  cuent couse ethics ethic use bdh,GRP_23
207,use click dive update manually estat machine eceivng eouse eo state pnp detect fatal,GRP_0
208,ep sid accot lock,GRP_0
209,window passwod eset,GRP_0
210,telephone numbe update,GRP_0
211,insuance infomation,GRP_0
212, give chtyad access epot tool ltaballotcsalesemp map thdy tgyu team vitual t,GRP_2
213,loud noise gso,GRP_0
214,es kiosk use passwod eset,GRP_0
215,netwok outage waehouse node  vpn t amwhat type cicuit powe  specify top cet site  stat schedule maintence povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
216,aw ticket comnt add uacyltoe hxgayczeed sid wok coectly accot doct geneate automatically without eo appove change best,GRP_18
218,expot shipnt gind mahcine khdgd apac advance infomation hdytkfiu send thusday octobe xjzcbgnp vfkwscao pushixepyfbga wtqdyoin dispatch machine tomoow eveything place k suppot aea  clea consignnt,GRP_0
219, add wok phone numbe pofile contact,GRP_0
220,add mbe,GRP_0
221,java issue uacyltoe hxgaycze laptop,GRP_19
222,suppot gs aexjftu ohxdwnglsuppot konnica ohxdwngl,GRP_24
223,poblem bluesceen  happen hang send blue sceen white lette,GRP_24
224,job tool netch fail schedule,GRP_8
225,eu tool cash confimation delete  emove scap ectify ep,GRP_25
226,en bgdxitwu dhcopwxa active diectoy accoten accot  fdgty email summay ,GRP_2
227,sync email issue,GRP_0
228,intenet exploe issuesuse issue page keep efesh end dll eo,GRP_3
230,blank call,GRP_0
231, view payslip,GRP_0
232,custo get ode acknowledgent automatically two accot like past yea top paent accts send  octobe soone look affect pay bill use eceive senio sale enginee  inc,GRP_13
233,poduction ode lock use gtxuamif pamxszek one  lock inspection lot pocess,GRP_14
234, access fince section hub  always get  bwfhtumx japznvb egiol contolle mailto,GRP_16
236,ssage tell email ntion send,GRP_26
237,email addess confimation,GRP_0
238,ep msd cm connectivity issue seitce cetificate enewalhi due enewal azue website yet update side change data ecod accot sale aea patne fction contact lead pocess wok vice vesa envionnt pod dev stat ti oct toubleshoot step hdty custo maste team epot pospect ceate co obseve still await acknowledgent status basically an delive taget system upon log alysis  identify oot cause basis poduction  aod est behavio mfg tool non well find eo sceenshots mail chain appea webapps sept nea expiation date jan new even awae webapp  toolt azuewebsites net get estat beak next  send each eceive detail admin house want open case micosoft maybe fist confimation apply,GRP_14
239,pinte poblem issue infomation complete equie question etun back gsc equeste povide infomation eview ticket  esolve  assign appopiate goup pe assignnt flowchat  make model detail desciption eo say  download install softwae dive host compute pint type doct email excel wod etc inwaehouse tool delivey note poduction ode system application use ti window ep espond ping command netwok powe cycle sue an sid hp plm output eouted anothe tempoaily coectly scan copy attach,GRP_3
240,powe outage austalia site had  type netwok cicuit  specify top cet  stat schedule maintence  povide maint ticket backup active contact notify phone email emote dial equipnt eset veify wok vendo global telecom veizon gsc additiol diagnostics,GRP_8
241, log ep  team accot even coect passwod accept  esolution ugent basis,GRP_0
243,activate iphone iygsxftl hysbgad set spae  own cause old one beak ageent supeviso appoval attach accot quaantine   new device,GRP_0
244,login issuelogin issue veify use detail employee mage  check eset passwod advise calle confim  esolve,GRP_0
245, pint pinteic welco next avail agent shotly inteaction alet website visito join convesation ayhcfxi zatupsw,GRP_0
247,outlook cashingic welco next avail agent shotly inteaction alet website visito join convesation ayhcfxi zatupsw  gstdy yada,GRP_27
248, file estoe diveic welco next avail agent shotly inteaction alet website visito join convesation ayhcfxi zatupsw ,GRP_0
249,sid logon balance eoic welco next avail agent shotly inteaction alet website visito join convesation tyss ashdtyf geet ayhcfxi zatupsw,GRP_0
250, login sfb obanjhg fleys language bowse micosoft intenet exploe email custo numbe summay  poblem sign skype,GRP_27
251,eset passwod fygwu gomcekzi mailbitte passwot mail zu cksetzen bitte neues mage,GRP_0
252,passwod esetfo sid   lock eset system,GRP_0
253,babilt client license expie uacyltoe hxgaycze mode eagl tel,GRP_28
254,outbod call possible via gemany pbx system inbod wok fine  check,GRP_28
255,poble mit laufwek laeusvjo fvaihgpx,GRP_24
256,pls  extend puchase use accot  ceate p,GRP_29
257,geneate  would pls  check,GRP_18
258,i open excel file micosoft online wok language bowse intenet exploe email custo numbe summay wok,GRP_0
260,vip  access pay tax tab seveal day hang ti clock  esofom gstdy tehdy send thusday octobe vkjdgtxb pkinmjqs ,GRP_0
261,business client wok,GRP_0
262,epot tool ep ha eo eveyti want set filte data souce publish otc bill get ssage,GRP_9
264, eset ep bex passwod m synchonize thank fmzdkyqv dbslnhe diecto fince business  mailto,GRP_0
265,netweave long wok  open,GRP_0
266,ndigg fgxpnub hlanwgqj effective appove,GRP_2
268,outlook set change,GRP_0
270,new passwod accot  tgyhu hgygtuineues hgygtui long wok employee pesent shift,GRP_0
271,check status tab appea puchase sceencheck button  sceen,GRP_0
272,pinte poblem issue infomation scanne long find path,GRP_0
273, open ep sid officewithout log vpn emote login thow balance eo,GRP_0
275,skype et  povide imdiately option pesently en best,GRP_0
276,outlook folde office,GRP_30
277,login skype  would pls  check,GRP_31
278,sn identify uvail via es monito sevice may connectivity,GRP_12
279, ceate delivey pint post detail infomation  attachnt  povide follow ode numbe mateial item waehouse location plant issue desciption eo ssage,GRP_6
281, load ethic module bdhdd dhwduw send thusday octobe nwfodmhc exucwkm fwd begin fowad ssage tust well get msg eset esolution howeve still issue pesist   diecto sale  indiect channel asia,GRP_0
282, email pivate phone hpdlbxf nozjtgwi   set access cell best,GRP_0
284, log es,GRP_0
285,skype eo log,GRP_0
286,vitalyst tansfe cm installation,GRP_0
287, access benefit tab,GRP_0
288,laptop slow dialog bog open choppy flicke delay,GRP_0
290, full poduction  ep update push seveal hou summay satuday octobe,GRP_5
291,india access go,GRP_8
292, passwod eset,GRP_0
293,issue pdf viewe iphone davidthd,GRP_0
294,enginee tool connect netwok even though vpn,GRP_0
295,outlook cm issue phone compute send iphone best,GRP_0
296, ep passwod eset,GRP_0
297, secuity uacyltoe hxgaycze dev copy cm geneal hxgayczeing tain access developnt application micosoft dymic mikhghyt wafglhdhjop mage global ethic compliance pogamdntys  inc technology way usa,GRP_22
298,intel use  download discot pice file distibuto tool  centeintel cente issue pobably elate change make ftp  fix aep cause lose sale extel wok fine zsd shstud maintence abap epot team maintain data ep limit fction upload howeve  poblem usa access  especially m aleady best,GRP_21
299, login collaboation platfom,GRP_0
300, eceive email  povide iphone,GRP_0
302,eu tool ist seh langsadgtym ywqgbnx jwnsyzbv jionmpsf wnkpzcmv,GRP_24
303,equest eset micosoft online sevice passwod,GRP_0
304,pick old wcktgbd wzgyp,GRP_24
305,poble lan tgeyd wcktgbd wzgyp,GRP_24
306,suppot zlqfptjx xnklbfua,GRP_24
307,use lock  gdthyd mgvpoyqd tnlshpwb compute send ssage behalf   inhekdol anvqzdif quality technologist mailto,GRP_0
308, connect lan intenet,GRP_0
309,install collaboation platfom,GRP_0
313,access guest wifi sponso potaleceive potal intel eo attempt issue link give use ceateknowccotssummay,GRP_0
314,use   login  vpn connect system use teamviewe confim abl eto ep sid issue esolve,GRP_0
315, map mailbox colleague,GRP_0
317,new team detail update bobj epot essnew mage open bex efe sceenshot still show old data  eflect aleady ep phone satlgeo lhqksbdx,GRP_9
318,email font show small eply connect use system use teamviewe coect size advise check confim fine issue esolve,GRP_0
319,eset passwod hdthy hstdd use magent tool,GRP_17
320,compute maintence dept  fix,GRP_3
321,compute old cnc aea  fix ep,GRP_3
322,use  new telephony softwae passwod,GRP_7
323,vip pinte connection equest  want connect wokstation gemany follow sceen shoot say  pemission system administato many,GRP_0
324,get onto netwok,GRP_3
